Month,New_Patients,Churned,Active_Panel,Consult_Rev,MRR,Total_Rev,Fixed_Costs,Net_Profit,Cumulative_Rev
1,22,0,22,7700,8800,16500,2000,14500,16500
2,22,1,43,7700,17200,24900,2000,22900,41400
3,22,2,63,7700,25200,32900,2000,30900,74300
4,22,3,82,7700,32800,40500,2000,38500,114800
5,22,4,100,7700,40000,47700,2000,45700,162500
6,5,5,100,1750,48500,50250,2000,48250,212750
7,5,5,100,1750,48500,50250,2000,48250,263000
8,5,5,100,1750,48500,50250,2000,48250,313250
9,5,5,100,1750,48500,50250,2000,48250,363500
10,5,5,100,1750,48500,50250,2000,48250,413750
11,5,5,100,1750,48500,50250,2000,48250,464000
12,5,5,100,1750,48500,50250,2000,48250,514250
13,5,5,100,1750,48500,50250,2000,48250,564500
14,5,5,100,1750,48500,50250,2000,48250,614750
15,5,5,100,1750,48500,50250,2000,48250,665000
16,5,5,100,1750,48500,50250,2000,48250,715250
17,5,5,100,1750,48500,50250,2000,48250,765500
18,5,5,100,1750,48500,50250,2000,48250,815750
19,5,5,100,1750,48500,50250,2000,48250,866000
20,5,5,100,1750,48500,50250,2000,48250,916250
21,5,5,100,1750,48500,50250,2000,48250,966500
22,5,5,100,1750,48500,50250,2000,48250,1016750
23,5,5,100,1750,48500,50250,2000,48250,1067000
24,5,5,100,1750,48500,50250,2000,48250,1117250
